id,subcategory_id,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,tipo_madera,Tipos de madera,seleccion,5,"['Madera Regular/Pino'"""," '""Madera Fina'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,incluye_colchon,Incluye colchón,seleccion,6,"['Incluye colchón'"""," '""No inluye colchón'""]""",,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,11,modelo,Modelo,seleccion,1,"['Colecho'"""," '""Moisés'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11,tipo,Tipo,seleccion,2,"['Fijo'"""," '""Plegable'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11,mecedora,Mecedora,seleccion,3,"['Mecedora'"""," '""No mecedora'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,accesorios,Accesorios,seleccion,4,"['Con caja de luz y sonidos'"""," '""Con Mosquitero'"""," '""Accesorios completos'"""," '""Sin Accesorios'"""," '""Accesorios'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12,modelo,Modelo,seleccion,1,"['Corral'"""," '""Segundo piso'"""," '""Completa'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12,accesorios,Accesorios,seleccion,3,"['Con caja de luz y sonidos'"""," '""Con Mosquitero'"""," '""Accesorios completos'"""," '""Sin Accesorios'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,13,modelo,Modelo,seleccion,1,"['Cuna estándar'"""," '""Cuna cama'"""," '""Cuna de viaje'"""," '""Individual'"""," '""Matrimonial'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,13,tipo,Tipo,seleccion,2,"['Cubre barandal'"""," '""1 Pieza Edredón'"""," '""2 a 3 piezas'"""," '""3 a 4 piezas'"""," '""Sábanas'"""," '""Cobijas'"""," '""Cubre colchón'"""," '""Moisés'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,14,modelo,Modelo,seleccion,1,"['Cuna estándar'"""," '""Cuna cama'"""," '""Cuna de viaje'"""," '""Moisés'"""," '""Nido'"""," '""Pequeño'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,14,tipo,Tipo,seleccion,2,"['Sencillo'"""," '""Estándar'"""," '""Memory Foam'"""," '""Antirreflujo'"""," '""Cambiador'"""," '""Moisés'"""," '""Nido'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15,modelo,Modelo,seleccion,1,"['Embarazo'"""," '""Para bebé'"""," '""Amamantar'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,15,tipo,Tipo,seleccion,2,"['Con vibración'"""," '""Gemelar'"""," '""Regular'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,16,modelo,Modelo,seleccion,1,"['Sonido y movimiento'"""," '""Con proyector'"""," '""Otro'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,17,modelo,Modelo,seleccion,1,"['120 cm'"""," '""180 cm'"""," '""Otro'"""," '""100 cm'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
