id,subcategory_id,,offer_print,name,display_name,type,order_index,options,created_at,updated_at,mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,10,,FALSE,con_buros,Con burós,seleccion,3,"['Con burós'"""," '""Sin Buros'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,10,,FALSE,acabado,Acabado,seleccion,4,"['Acabado Rústico'"""," '""Acabado Regular'"""," '""Acabado Fino'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,10,,FALSE,tipo_madera,Tipos de madera,seleccion,5,"['Madera Regular/Pino'"""," '""Madera Fina'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,10,,TRUE,incluye_colchon,Incluye colchón,seleccion,6,"['Incluye colchón'"""," '""No inluye colchón'""]""",34:01.5,34:01.5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,11,,TRUE,modelo,Modelo,seleccion,1,"['Colecho'"""," '""Moisés'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11,,FALSE,tipo,Tipo,seleccion,2,"['Fijo'"""," '""Plegable'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11,,FALSE,mecedora,Mecedora,seleccion,3,"['Mecedora'"""," '""No mecedora'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,,FALSE,accesorios,Accesorios,seleccion,4,"['Con caja de luz y sonidos'"""," '""Con Mosquitero'"""," '""Accesorios completos'"""," '""Sin Accesorios'"""," '""Accesorios'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,12,,TRUE,modelo,Modelo,seleccion,1,"['Corral'"""," '""Segundo piso'"""," '""Completa'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,12,,FALSE,accesorios,Accesorios,seleccion,3,"['Con caja de luz y sonidos'"""," '""Con Mosquitero'"""," '""Accesorios completos'"""," '""Sin Accesorios'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,13,,TRUE,modelo,Modelo,seleccion,1,"['Cuna estándar'"""," '""Cuna cama'"""," '""Cuna de viaje'"""," '""Individual'"""," '""Matrimonial'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,13,,TRUE,tipo,Tipo,seleccion,2,"['Cubre barandal'"""," '""1 Pieza Edredón'"""," '""2 a 3 piezas'"""," '""3 a 4 piezas'"""," '""Sábanas'"""," '""Cobijas'"""," '""Cubre colchón'"""," '""Moisés'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,14,,TRUE,modelo,Modelo,seleccion,1,"['Cuna estándar'"""," '""Cuna cama'"""," '""Cuna de viaje'"""," '""Moisés'"""," '""Nido'"""," '""Pequeño'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,14,,FALSE,tipo,Tipo,seleccion,2,"['Sencillo'"""," '""Estándar'"""," '""Memory Foam'"""," '""Antirreflujo'"""," '""Cambiador'"""," '""Moisés'"""," '""Nido'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,15,,TRUE,modelo,Modelo,seleccion,1,"['Embarazo'"""," '""Para bebé'"""," '""Amamantar'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,15,,FALSE,tipo,Tipo,seleccion,2,"['Con vibración'"""," '""Gemelar'"""," '""Regular'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,16,,FALSE,modelo,Modelo,seleccion,1,"['Sonido y movimiento'"""," '""Con proyector'"""," '""Otro'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,17,,FALSE,modelo,Modelo,seleccion,1,"['120 cm'"""," '""180 cm'"""," '""Otro'"""," '""100 cm'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,17,,FALSE,tipo,Tipo,seleccion,2,"['Altura ajustable'"""," '""Fijo'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,18,,TRUE,modelo,Modelo,seleccion,1,"['Cómoda/cajonera'"""," '""Cabecera'"""," '""Buró'"""," '""Ropero/Closet'"""," '""Mecedora para mamá'"""," '""Librero'"""," '""Cómoda con tina'"""," '""Baúl'""]""",34:08.8,34:08.8,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
