ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
41735,simple,HSJUGP201,,Nerf 5 años y más,1,0,visible,Sin información adicional,"Precio de comparación $2900 5 años y más, Nerf, Seminuevo sin detalle, , Boom Roja",,,taxable,,1,1,,0,0,3.06,,,,0,2900,,1296,A Jugar > Juguetes,"5 años y más, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP201-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP2011-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP2012-1.jpg",,,,,,,,,0
41741,simple,HSJUGP203,,Fisher Price 2 años,1,0,visible,Sin información adicional,"Precio de comparación $350 2 años, Fisher Price, Seminuevo sin detalle, , Reno",,,taxable,,1,2,,0,0,3.06,,,,0,350,,154,A Jugar > Juguetes,"2 años, Polanco, Ver todo de a jugar",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP203-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSJUGP2031-1.jpg",,,,,,,,,0
41774,simple,HSBPCP8,,Safety 1st 120 cm,1,0,visible,,"Precio de comparación $7500 Ajustable alturas, Autoasientos 0-18 a 25 kg, Chicco, Seminuevo sin detalle, barandal",,,taxable,,1,2,,0,0,0,,,,0,7500,,1058.4,A dormir > Barandal para cama,"Polanco, Safety 1st 120 cm, Ver todo de a dormir",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSBPCP8-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSBPCP81-3.jpg",,,,,,,,,0
41816,simple,HSSPCP100,,Evenflo Silla alta,1,1,visible,"Reclinable, Plegable, Charola desmontable, Niveles de altura, ","Precio de comparación $1500 Silla alta, Evenflo, Seminuevo sin detalle, Roja",,,taxable,,1,1,,0,0,20.4,,,,0,1500,1458,1620,En casa > Sillas para comer,"Polanco, Silla alta, Ver todo de en casa",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSSPCP100-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSSPCP1001-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSSPCP1002-1.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSSPCP1003-1.jpg",,,,,,,,,0
41832,simple,HSCYMP17,,Chicco Colecho Magic,1,0,visible,"Accesorios completos, Mecedora, Plegable, Magic","Precio de comparación $7000 Colecho, Chicco, Seminuevo sin detalle, Gris",,,taxable,,1,1,,0,0,23.76,,,,0,7000,,3750,A dormir > Colechos y Moisés,"Colecho, Polanco, Ver todo de a dormir",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSCYMP17-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCYMP171-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCYMP172-3.jpg",,,,,,,,,0
41916,simple,HSCDMP13,,Pottery Barn Más de 36 meses,1,0,visible,"No inluye colchón, Madera Fina, Acabado Fino, Sin Buros, litera tamaño invdividual","Precio de comparación $29500 Más de 36 meses, Pottery Barn, Seminuevo sin detalle , Litera",,,taxable,,1,1,,0,0,49.29,,,,0,29500,,15930,A dormir > Cunas de madera,"Cuna-cama más de 36 meses, Polanco, Ver todo de a dormir",,https://entrepeques.mx/wp-content/uploads/2023/12/HSCDMP13-3.jpg,,,,,,,,,0
41933,simple,HSCDBP11,,Tommee Tippee Eléctrico,1,0,visible,,"Precio de comparación $890 Eléctrico, Tommee Tippee, Seminuevo sin detalle, , Con caja",,,taxable,,1,1,,0,0,2.25,,,,0,890,,434.5,A comer > Calentador de biberones,"Eléctrico, Polanco, Ver todo de a comer",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSCDBP11-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCDBP111-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSCDBP112-3.jpg",,,,,,,,,0
41944,simple,HSEDLP29,,Avent Sencillo,1,0,visible,"Con Niveles de succión, Enchufe y Pilas, Eléctrico, ","Precio de comparación $3250 Sencillo, Avent, Seminuevo sin detalle, , En caja",,,taxable,,1,1,,0,0,1.69,,,,0,3250,,1620,A comer > Extractores de leche,"Polanco, Sencillo, Ver todo de a comer",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSEDLP29-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSEDLP291-3.jpg",,,,,,,,,0
41947,simple,HSEDLP30,,Spectra Doble,1,0,visible,"Con Niveles de succión, Enchufe y Pilas, Eléctrico,","Precio de comparación $5950 Doble, Spectra, Seminuevo sin detalle, , Sin notas",,,taxable,,1,1,,0,0,1.69,,,,0,5950,,2802.6,A comer > Extractores de leche,"Polanco, Ver todo de a comer",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSEDLP30-3.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSEDLP301-3.jpg",,,,,,,,,0
41952,simple,HSMDEP22,,Prinsel Eléctrico,1,0,visible,"Sin techo, Sin bastón empuje, Sin Control remoto, ","Precio de comparación $5500 Eléctrico, Prinsel, Seminuevo sin detalle, , Rosa",,,taxable,,1,1,,0,0,27.67,,,,0,5500,2430,2700,A pasear > Montables de exterior,"Eléctrico, Polanco, Ver todo de a pasear",,"https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP22-2.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP221-2.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP222-2.jpg, https://entrepeques.mx/wp-content/uploads/2023/12/HSMDEP223-2.jpg",,,,,,,,,0
41970,simple,HSACRP12,,Cuadros,1,0,visible,Sin información adicional,"Precio de comparación $1320 Cuadros, General, Seminuevo sin detalle, , Leon",,,taxable,,1,1,,0,0,6.83,,,,0,1320,,444.4055,A dormir > Accesorios Recámara,"Cuadros, Polanco, Ver todo de a dormir",,https://entrepeques.mx/wp-content/uploads/2023/12/HSACRP12-3.jpg,,,,,,,,,0
41972,simple,HSACRP13,,Cuadros,1,0,visible,Sin información adicional,"Precio de comparación $1320 Cuadros, General, Seminuevo sin detalle, , Elefante",,,taxable,,1,1,,0,0,6.83,,,,0,1320,,444.4055,A dormir > Accesorios Recámara,"Cuadros, Polanco, Ver todo de a dormir",,https://entrepeques.mx/wp-content/uploads/2023/12/HSACRP13-3.jpg,,,,,,,,,0
