codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,precio_online,estado
JUGP081,Juguetes,A jugar,Disfraces,"",1,181.50,BAJO STOCK
JUGP082,Juguetes,A jugar,Disfraces,"",1,214.50,BAJO STOCK
JUGP083,Juguetes,A jugar,Disfraces,"",1,110.00,BAJO STOCK
JUGP084,Juguetes,A jugar,Disfraces,"",1,176.00,BAJO STOCK
JUGP085,Juguetes,A jugar,Disfraces,"",1,242.00,BAJO STOCK
JUGP086,Juguetes,A jugar,Disfraces,"",1,121.00,BAJO STOCK
JUGP087,Juguetes,A jugar,Disfraces,"",1,324.50,BAJO STOCK
JUGP088,Juguetes,A jugar,Disfraces,"",1,214.50,BAJO STOCK
JUGP089,Juguetes,A jugar,Disfraces,"",1,302.50,BAJO STOCK
JUGP090,Juguetes,A jugar,Disfraces,"",1,302.50,BAJO STOCK
JUGP091,Juguetes,A jugar,Disfraces,"",1,99.00,BAJO STOCK
JUGP092,Juguetes,A jugar,Disfraces,"",1,187.00,BAJO STOCK
JUGP093,Juguetes,A jugar,Disfraces,"",1,214.50,BAJO STOCK
JUGP094,Juguetes,A jugar,Disfraces,"",1,187.00,BAJO STOCK
JUGP095,Juguetes,A jugar,Disfraces,"",1,165.00,BAJO STOCK
JUGP096,Juguetes,A jugar,Stokke,"",1,1933.20,BAJO STOCK
JUGP097,Juguetes,A jugar,Beaba,"",1,1506.60,BAJO STOCK
JUGP098,Juguetes,A jugar,Pimpones,"",1,330.00,BAJO STOCK
JUGP099,Juguetes,A jugar,Rompecabezas,"",1,99.00,BAJO STOCK
JUGP100,Juguetes,A jugar,Mattel,"",1,121.00,BAJO STOCK
JUGP101,Juguetes,A jugar,Infanti,"",1,385.00,BAJO STOCK
JUGP102,Juguetes,A jugar,Prinsel,"",1,4050.00,BAJO STOCK
JUGP103,Juguetes,A jugar,Prinsel,"",1,995.00,BAJO STOCK
JUGP105,Juguetes,A jugar,Magistronic,"",1,1890.00,BAJO STOCK
JUGP106,Juguetes,A jugar,Prinsel,"",1,643.00,BAJO STOCK
JUGP107,Juguetes,A jugar,Juguete,"",1,192.50,BAJO STOCK
JUGP108,Juguetes,A jugar,General,"",1,88.00,BAJO STOCK
JUGP109,Juguetes,A jugar,Libro,"",1,88.00,BAJO STOCK
JUGP110,Juguetes,A jugar,General,"",1,99.00,BAJO STOCK
JUGP111,Juguetes,A jugar,General,"",1,110.00,BAJO STOCK
JUGP112,Juguetes,A jugar,General,"",1,99.00,BAJO STOCK
JUGP113,Juguetes,A jugar,baby,"",1,880.00,BAJO STOCK
JUGP114,Juguetes,A jugar,Libro,"",1,66.00,BAJO STOCK
JUGP115,Juguetes,A jugar,General,"",1,181.50,BAJO STOCK
JUGP117,Juguetes,A jugar,Mega,"",1,209.00,BAJO STOCK
JUGP119,Juguetes,A jugar,Cars,"",1,467.50,BAJO STOCK
JUGP120,Juguetes,A jugar,Nerf,"",1,1296.00,BAJO STOCK
JUGP123,Juguetes,A jugar,Chicco,"",1,3750.00,BAJO STOCK
JUGP124,Juguetes,A jugar,Avent,"",1,1620.00,BAJO STOCK
JUGP125,Juguetes,A jugar,Spectra,"",1,2802.60,BAJO STOCK
JUGP126,Juguetes,A jugar,Prinsel,"",1,2700.00,BAJO STOCK
JUGP127,Juguetes,A jugar,Cuadros,"",1,444.41,BAJO STOCK
JUGP128,Juguetes,A jugar,Cuadros,"",1,444.41,BAJO STOCK
JUGP129,Juguetes,A jugar,Cuadros,"",1,412.66,BAJO STOCK
JUGP130,Juguetes,A jugar,Tippi,"",1,539.00,BAJO STOCK
JUGP131,Juguetes,A jugar,Cybex,"",1,2694.60,BAJO STOCK
JUGP133,Juguetes,A jugar,Fisher,"",1,319.00,BAJO STOCK
JUGP134,Juguetes,A jugar,Mega,"",1,352.00,BAJO STOCK
JUGP136,Juguetes,A jugar,Prinsel,"",1,533.50,BAJO STOCK
JUGP137,Juguetes,A jugar,Firestat,"",1,434.50,BAJO STOCK
JUGP138,Juguetes,A jugar,Baby,"",1,275.00,BAJO STOCK
JUGP139,Juguetes,A jugar,Paris,"",1,1250.00,BAJO STOCK
JUGP140,Juguetes,A jugar,Mattel,"",1,654.50,BAJO STOCK
JUGP142,Juguetes,A jugar,Apache,"",1,495.00,BAJO STOCK
JUGP143,Juguetes,A jugar,Banana,"",1,984.50,BAJO STOCK
JUGP144,Juguetes,A jugar,Lego,"",1,214.50,BAJO STOCK
JUGP146,Juguetes,A jugar,Disney,"",1,385.00,BAJO STOCK
JUGP147,Juguetes,A jugar,Paw,"",1,814.00,BAJO STOCK
JUGP148,Juguetes,A jugar,Disney,"",1,467.50,BAJO STOCK
JUGP149,Juguetes,A jugar,General,"",1,418.00,BAJO STOCK
JUGP150,Juguetes,A jugar,Cuna,"",1,605.00,BAJO STOCK
JUGP151,Juguetes,A jugar,Britax,"",1,1830.60,BAJO STOCK
JUGP152,Juguetes,A jugar,Distroller,"",1,247.50,BAJO STOCK
JUGP153,Juguetes,A jugar,Apache,"",1,605.00,BAJO STOCK
JUGP154,Juguetes,A jugar,Mon,"",1,1285.20,BAJO STOCK
JUGP155,Juguetes,A jugar,Fisher,"",1,66.00,BAJO STOCK
JUGP156,Juguetes,A jugar,Radio,"",1,874.50,BAJO STOCK
JUGP157,Juguetes,A jugar,Prinsel,"",1,1069.20,BAJO STOCK
JUGP158,Juguetes,A jugar,Play-Doh,"",1,643.50,BAJO STOCK
JUGP160,Juguetes,A jugar,General,"",1,27.50,BAJO STOCK
JUGP161,Juguetes,A jugar,General,"",1,214.50,BAJO STOCK
JUGP162,Juguetes,A jugar,General,"",1,181.50,BAJO STOCK
JUGP163,Juguetes,A jugar,Disney,"",1,434.50,BAJO STOCK
JUGP164,Juguetes,A jugar,Fisher,"",1,357.50,BAJO STOCK
JUGP165,Juguetes,A jugar,Ingenuity,"",1,2154.60,BAJO STOCK
JUGP166,Juguetes,A jugar,Polo,"",1,649.00,BAJO STOCK
JUGP167,Juguetes,A jugar,Tous,"",1,495.00,BAJO STOCK
JUGP169,Juguetes,A jugar,Mayoral,"",1,577.50,BAJO STOCK
JUGP170,Juguetes,A jugar,Foque,"",1,649.00,BAJO STOCK
JUGP171,Juguetes,A jugar,Primmi,"",1,649.00,BAJO STOCK
JUGP173,Juguetes,A jugar,Little,"",1,385.00,BAJO STOCK
JUGP174,Juguetes,A jugar,Babuu,"",1,797.50,BAJO STOCK
JUGP175,Juguetes,A jugar,Chicco,"",1,715.00,BAJO STOCK
JUGP176,Juguetes,A jugar,Vtech,"",1,539.00,BAJO STOCK
JUGP177,Juguetes,A jugar,babymoov,"",1,2149.20,BAJO STOCK
JUGP178,Juguetes,A jugar,Black&Decker,"",1,1009.80,BAJO STOCK
JUGP180,Juguetes,A jugar,Tommee,"",1,324.50,BAJO STOCK
JUGP181,Juguetes,A jugar,Tommee,"",1,544.50,BAJO STOCK
JUGP182,Juguetes,A jugar,Chicco,"",1,302.50,BAJO STOCK
JUGP183,Juguetes,A jugar,Munchkin,"",1,385.00,BAJO STOCK
JUGP184,Juguetes,A jugar,Medela,"",1,2154.60,BAJO STOCK
JUGP185,Juguetes,A jugar,Medela,"",1,2154.60,BAJO STOCK
JUGP186,Juguetes,A jugar,Chicco,"",1,1069.20,BAJO STOCK
JUGP187,Juguetes,A jugar,Evenflo,"",1,814.00,BAJO STOCK
