codigo_producto,subcategoria,categoria,marca,modelo,cantidad_bodega,condicion,precio_online,precio_sugerido_original,peso_kg,num_fotos,ubicacion,modalidad,fecha_valuacion,fecha_publicacion,notas,estado
CDVP006,Cunas de viaje,A dormir,Prinsel,"",1,bueno,1808.55,1808.55,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDVP51 - Prinsel Completa,BAJO STOCK
CDVP007,Cunas de viaje,A dormir,Safety,"",1,bueno,1701.00,1701.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDVP53 - Safety 1st Completa,BAJO STOCK
CDVP008,Cunas de viaje,A dormir,Chicco,"",1,bueno,4314.60,4314.60,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDVP54 - Chicco Completa,BAJO STOCK
CDVP009,Cunas de viaje,A dormir,BabyMoov,"",1,bueno,654.50,654.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDVP59 - BabyMoov Corral,BAJO STOCK
CDVP010,Cunas de viaje,A dormir,Tuc,"",1,bueno,1074.60,1074.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDVP65 - Tuc Tuc Segundo piso,BAJO STOCK
CDVP011,Cunas de viaje,A dormir,Mon,"",1,bueno,2430.00,2430.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDVP67 - Mon Caramel Completa,BAJO STOCK
CDVP012,Cunas de viaje,A dormir,Babybjorn,"",1,bueno,2694.60,2694.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: CDVP68 - Babybjorn Corral,BAJO STOCK
CDVP013,Cunas de viaje,A dormir,Mini,"",1,bueno,1134.00,1134.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: CDVP71 - Mini cuna Portátil,BAJO STOCK
MDRP001,Muebles de recámara,A dormir,Tete,"",1,bueno,4539.56,4539.56,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSMDRP7 - Tete Ropero/Closet,BAJO STOCK
MDRP002,Muebles de recámara,A dormir,Pottery,"",1,bueno,9174.60,9174.60,0.50,4,Polanco,compra directa,25/09/2025,,SKU: MDRP15 - Pottery Barn Cómoda/cajonera,BAJO STOCK
GYTP001,Gimnasios y tapetes,A jugar,Perrito,"",1,bueno,140.00,140.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSGYTP10 - Perrito Gimnasio,BAJO STOCK
GYTP002,Gimnasios y tapetes,A jugar,Skip,"",1,bueno,645.00,645.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSGYTP12 - Skip Hop Gimnasio,BAJO STOCK
GYTP003,Gimnasios y tapetes,A jugar,Chico,"",1,bueno,295.00,295.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSGYTP19 - Chico Tapete,BAJO STOCK
GYTP004,Gimnasios y tapetes,A jugar,Fisher,"",1,bueno,625.00,625.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSGYTP23 - Fisher Price Juego Bebé,BAJO STOCK
GYTP005,Gimnasios y tapetes,A jugar,MOncaramel,"",1,bueno,357.50,357.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSGYTP29 - MOncaramel Tapete,BAJO STOCK
GYTP006,Gimnasios y tapetes,A jugar,Skip,"",1,bueno,1242.00,1242.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: GYTP37 - Skip hop 2 en 1,BAJO STOCK
GYTP007,Gimnasios y tapetes,A jugar,Bright,"",1,bueno,388.08,388.08,0.50,3,Polanco,compra directa,25/09/2025,,SKU: GYTP41 - Bright Starts Gimnasio,BAJO STOCK
GYTP008,Gimnasios y tapetes,A jugar,Chiquimundo,"",1,bueno,418.00,418.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: GYTP44 - Chiquimundo Gimnasio,BAJO STOCK
GYTP009,Gimnasios y tapetes,A jugar,Fisher,"",1,bueno,209.00,209.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: GYTP49 - Fisher Price Gimnasio Musical,BAJO STOCK
GYTP010,Gimnasios y tapetes,A jugar,Fisher,"",1,bueno,275.00,275.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: GYTP50 - Fisher Price Musical para cuna,BAJO STOCK
GYTP011,Gimnasios y tapetes,A jugar,General,"",1,bueno,418.00,418.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: GYTP53 - General Gimnasio,BAJO STOCK
GYTP012,Gimnasios y tapetes,A jugar,Biyu,"",1,bueno,247.50,247.50,0.50,2,Polanco,compra directa,25/09/2025,,SKU: GYTP51 - Biyu Gimnasio Musical,BAJO STOCK
GYTP013,Gimnasios y tapetes,A jugar,Melissa&Dough,"",1,bueno,930.05,930.05,0.50,4,Polanco,compra directa,25/09/2025,,SKU: GYTP54 - Melissa&Dough Tapete,BAJO STOCK
GYTP014,Gimnasios y tapetes,A jugar,Tiny,"",1,bueno,984.50,984.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: GYTP63 - Tiny Love 2 en 1,BAJO STOCK
GYTP015,Gimnasios y tapetes,A jugar,Fisher,"",1,bueno,544.50,544.50,0.50,3,Polanco,compra directa,25/09/2025,,SKU: GYTP65 - Fisher Price Gimnasio Musical,BAJO STOCK
JGGP001,Juegos grandes,A jugar,SmartTrike,"",2,bueno,1998.00,1998.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJGGP21 - SmartTrike Trampolines,BAJO STOCK
JGGP002,Juegos grandes,A jugar,PlegableCasitas,"",1,bueno,319.00,319.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJGGP22 - PlegableCasitas,BAJO STOCK
JGGP003,Juegos grandes,A jugar,Tipee,"",1,bueno,825.00,825.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJGGP42 - Tipee con almohada,BAJO STOCK
JGGP004,Juegos grandes,A jugar,General,"",1,bueno,484.00,484.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJGGP45 - General Puff,BAJO STOCK
JGGP005,Juegos grandes,A jugar,Melissa&,"",1,bueno,1609.20,1609.20,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJGGP47 - Melissa& Doug Mesa,BAJO STOCK
JGGP006,Juegos grandes,A jugar,Vtech,"",1,bueno,1069.20,1069.20,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSJGGP59 - Vtech Escritorios,BAJO STOCK
JGGP007,Juegos grandes,A jugar,Castillo,"",1,bueno,5394.60,5394.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSJGGP65 - Castillo Inflable,BAJO STOCK
JGGP008,Juegos grandes,A jugar,Baby,"",1,bueno,1282.50,1282.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: HSJGGP69 - Baby Einstein,BAJO STOCK
JGGP009,Juegos grandes,A jugar,Step2,"",1,bueno,2586.60,2586.60,0.50,3,Polanco,compra directa,25/09/2025,,SKU: JGGP94 - Step2 Cocinita,BAJO STOCK
JGGP010,Juegos grandes,A jugar,Feber,"",1,bueno,695.00,695.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: JGGP103 - Feber Resbaladillas,BAJO STOCK
JGGP011,Juegos grandes,A jugar,Step2,"",1,bueno,1895.00,1895.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: JGGP82 - Step2 Juegos integrados,BAJO STOCK
JGGP012,Juegos grandes,A jugar,Step2,"",1,bueno,2754.00,2754.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: JGGP130 - Step2 Cocinita,BAJO STOCK
JGGP013,Juegos grandes,A jugar,Ikea,"",1,bueno,764.50,764.50,0.50,4,Polanco,compra directa,25/09/2025,,SKU: JGGP142 - Ikea Juegos integrados,BAJO STOCK
JGGP014,Juegos grandes,A jugar,Its,"",1,bueno,1566.00,1566.00,0.50,4,Polanco,compra directa,25/09/2025,,SKU: JGGP145 - Its Imagical Piano,BAJO STOCK
JGGP015,Juegos grandes,A jugar,Joy&Fun,"",1,bueno,324.50,324.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: JGGP151 - Joy&Fun Muebles de juguete,BAJO STOCK
JUGP001,Juguetes,A jugar,Fisher,"",2,bueno,324.50,324.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP13 - Fisher Price 2 años,BAJO STOCK
JUGP002,Juguetes,A jugar,Fisher,"",2,bueno,324.50,324.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP13 - Fisher Price 2 años,BAJO STOCK
JUGP003,Juguetes,A jugar,Fisher,"",1,bueno,132.00,132.00,0.50,2,Polanco,compra directa,25/09/2025,,SKU: HSJUGP62 - Fisher Price 0-1 año,BAJO STOCK
JUGP004,Juguetes,A jugar,Patines,"",1,bueno,1242.00,1242.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSJUGP88 - Patines Hielo Talla 22.5,BAJO STOCK
JUGP005,Juguetes,A jugar,Hot,"",1,bueno,1701.00,1701.00,0.50,3,Polanco,compra directa,25/09/2025,,SKU: HSMDEP11 - Hot wheels Eléctrico,BAJO STOCK
JUGP006,Juguetes,A jugar,General,"",1,bueno,742.50,742.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP5 - General Bolsa,BAJO STOCK
JUGP007,Juguetes,A jugar,General,"",1,bueno,539.00,539.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP6 - General Bolsa,BAJO STOCK
JUGP008,Juguetes,A jugar,General,"",1,bueno,539.00,539.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP7 - General Bolsa,BAJO STOCK
JUGP009,Juguetes,A jugar,General,"",1,bueno,550.00,550.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP8 - General Bolsa,BAJO STOCK
JUGP010,Juguetes,A jugar,General,"",1,bueno,407.00,407.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP9 - General Bolsa,BAJO STOCK
JUGP011,Juguetes,A jugar,Kipling,"",1,bueno,1998.00,1998.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP10 - Kipling Bolsa,BAJO STOCK
JUGP012,Juguetes,A jugar,General,"",1,bueno,659.99,659.99,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP11 - General Bolsa,BAJO STOCK
JUGP013,Juguetes,A jugar,General,"",1,bueno,429.00,429.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP12 - General Bolsa,BAJO STOCK
JUGP014,Juguetes,A jugar,Tous,"",1,bueno,1890.00,1890.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP13 - Tous Bolsa,BAJO STOCK
JUGP015,Juguetes,A jugar,General,"",1,bueno,654.50,654.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP14 - General Bolsa,BAJO STOCK
JUGP016,Juguetes,A jugar,Tous,"",1,bueno,1242.00,1242.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP15 - Tous Bolsa,BAJO STOCK
JUGP017,Juguetes,A jugar,General,"",1,bueno,1458.00,1458.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP16 - General Bolsa,BAJO STOCK
JUGP018,Juguetes,A jugar,General,"",1,bueno,324.50,324.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP17 - General Bolsa,BAJO STOCK
JUGP019,Juguetes,A jugar,General,"",1,bueno,484.00,484.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP20 - General Bolsa,BAJO STOCK
JUGP020,Juguetes,A jugar,General,"",1,bueno,231.00,231.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP21 - General Bolsa,BAJO STOCK
JUGP021,Juguetes,A jugar,General,"",1,bueno,324.50,324.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP22 - General Bolsa,BAJO STOCK
JUGP022,Juguetes,A jugar,General,"",1,bueno,654.50,654.50,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP25 - General Bolsa,BAJO STOCK
JUGP023,Juguetes,A jugar,General,"",1,bueno,352.00,352.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP26 - General Bolsa,BAJO STOCK
JUGP024,Juguetes,A jugar,General,"",1,bueno,495.00,495.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP27 - General Bolsa,BAJO STOCK
JUGP025,Juguetes,A jugar,General,"",1,bueno,616.00,616.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP28 - General Bolsa,BAJO STOCK
JUGP026,Juguetes,A jugar,General,"",1,bueno,880.00,880.00,0.50,1,Polanco,compra directa,25/09/2025,,SKU: HSABDP29 - General Bolsa,BAJO STOCK
